"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"Association Maurice Schumann","",2000,"Fonctionnement",224,"DARMANIN Gérald",59,"Député","","Gérald","Darmanin","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/607846.asp","http://www.nosdeputes.fr/gerald-darmanin","http://www.nosdeputes.fr/gerald-darmanin/xml"
"Association Maurice Schumann Cercle militaire","",1000,"Fonctionnement",224,"GERARD Bernard",59,"Député","","Bernard","Gérard","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1459.asp","http://www.nosdeputes.fr/bernard-gerard","http://www.nosdeputes.fr/bernard-gerard/xml"
"Association Mawina Piking","",15200,"Achat d'un minibus",224,"BERTHELOT Chantal",973,"Député","","Chantal","Berthelot","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/337504.asp","http://www.nosdeputes.fr/chantal-berthelot","http://www.nosdeputes.fr/chantal-berthelot/xml"
"Association Melting","",10000,"Acquisition de matériel video",224,"BERTHELOT Chantal",973,"Député","","Chantal","Berthelot","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/337504.asp","http://www.nosdeputes.fr/chantal-berthelot","http://www.nosdeputes.fr/chantal-berthelot/xml"
"Association Merveilles de la Montagne verte","",8000,"Mise en conformité du local alto",224,"JUNG Armand",67,"Député","","Armand","Jung","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1748.asp","http://www.nosdeputes.fr/armand-jung","http://www.nosdeputes.fr/armand-jung/xml"
"Association Mieux vivre à la Viste","",4000,"Fonctionneemnt",224,"JIBRAYEL Henri",13,"Député","","Henri","Jibrayel","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/330613.asp","http://www.nosdeputes.fr/henri-jibrayel","http://www.nosdeputes.fr/henri-jibrayel/xml"
"Association Mission Intercommunale des Bords de Marne","",10000,"Fonctionnement",102,"CARREZ Gilles",94,"Député","","Gilles","Carrez","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/746.asp","http://www.nosdeputes.fr/gilles-carrez","http://www.nosdeputes.fr/gilles-carrez/xml"
"Association Modélisme et Aéronautique de Gâtine","",1500,"NC",219,"DRAPEAU Jean-Luc",79,"Député","","Jean-Luc","Drapeau","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/345994.asp","http://www.nosdeputes.fr/jean-luc-drapeau","http://www.nosdeputes.fr/jean-luc-drapeau/xml"
"Association Modern'Jazz","",5000,"Fonctionnement",224,"RIHAN CYPEL Eduardo",77,"Député","","Eduardo","Rihan Cypel","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/609292.asp","http://www.nosdeputes.fr/eduardo-rihan-cypel","http://www.nosdeputes.fr/eduardo-rihan-cypel/xml"
"Association Moine et Sanguèze","",4000,"Course des vignes-manifestation sportive",163,"BOURDOULEIX Gilles",49,"Député","","Gilles","Bourdouleix","H","NI","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267433.asp","http://www.nosdeputes.fr/gilles-bourdouleix","http://www.nosdeputes.fr/gilles-bourdouleix/xml"
"ASSOCIATION Môm'Lille","",9500,"Fonctionnement",224,"LINKENHELD Audrey",59,"Député","","Audrey","Linkenheld","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/607761.asp","http://www.nosdeputes.fr/audrey-linkenheld","http://www.nosdeputes.fr/audrey-linkenheld/xml"
"Association Mondeville Animation","",1500,"Fonctionnement",224,"DUMONT Laurence",14,"Député","","Laurence","Dumont","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1198.asp","http://www.nosdeputes.fr/laurence-dumont","http://www.nosdeputes.fr/laurence-dumont/xml"
"ASSOCIATION MONOD SOLIDAIRE","",10000,"Fonctionnement",230,"CROZON Pascale",69,"Député","","Pascale","Crozon","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334811.asp","http://www.nosdeputes.fr/pascale-crozon","http://www.nosdeputes.fr/pascale-crozon/xml"
"Association Montevideo","",5000,"Développer un pôle culturel pour spectacles, expos, rencontres",224,"ABEILLE Laurence",94,"Député","","Laurence","Abeille","F","ECOLO","http://www.assemblee-nationale.fr/14/tribun/fiches_id/610427.asp","http://www.nosdeputes.fr/laurence-abeille","http://www.nosdeputes.fr/laurence-abeille/xml"
"Association MOPA","",6000,"Développement et promotion d'une scène musicale et d'une culture alternative",224,"LEMORTON Catherine",31,"Député","","Catherine","Lemorton","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/331753.asp","http://www.nosdeputes.fr/catherine-lemorton","http://www.nosdeputes.fr/catherine-lemorton/xml"
"Association Moto Club du Dardon""","",3000,"NC",219,"GUEUGNEAU Edith",71,"Député","","Edith","Gueugneau","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/608684.asp","http://www.nosdeputes.fr/edith-gueugneau","http://www.nosdeputes.fr/edith-gueugneau/xml"
"Association Motocyclistes des Hauts de Ruères","",1000,"NC",219,"PERRUT Bernard",69,"Député","","Bernard","Perrut","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2377.asp","http://www.nosdeputes.fr/bernard-perrut","http://www.nosdeputes.fr/bernard-perrut/xml"
"Association MOZAIK RH","",5000,"Fonctionnement",102,"TOURAINE Jean-Louis",69,"Député","","Jean-Louis","Touraine","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334768.asp","http://www.nosdeputes.fr/jean-louis-touraine","http://www.nosdeputes.fr/jean-louis-touraine/xml"
"Association Mulhouse-Muaythai","",1000,"NC",219,"GROSSKOST Arlette",68,"Député","","Arlette","Grosskost","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267227.asp","http://www.nosdeputes.fr/arlette-grosskost","http://www.nosdeputes.fr/arlette-grosskost/xml"
"Association Musée des Arts et Traditions Populaires du Perche","",1000,"Fonctionnement",175,"DE LA RAUDIERE Laure",28,"Député","","Laure de","La Raudière","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/331567.asp","http://www.nosdeputes.fr/laure-de-la-raudiere","http://www.nosdeputes.fr/laure-de-la-raudiere/xml"
"Association Musicale de Mornant","",2000,"Fonctionnement",224,"FENECH Georges",69,"Député","","Georges","Fenech","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267591.asp","http://www.nosdeputes.fr/georges-fenech","http://www.nosdeputes.fr/georges-fenech/xml"
"Association musicale des tours","",1000,"Fonctionnement",224,"REYNES Bernard",13,"Député","","Bernard","Reynès","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/330788.asp","http://www.nosdeputes.fr/bernard-reynes","http://www.nosdeputes.fr/bernard-reynes/xml"
"Association Musicale Vivaldi","",30000,"Fonctionnement",224,"CARREY-CONTE Fanélie",75,"Député","","Fanélie","Carrey-Conte","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/642940.asp","http://www.nosdeputes.fr/fanelie-carrey-conte","http://www.nosdeputes.fr/fanelie-carrey-conte/xml"
"Association Music'Am","",3000,"Acquisition de matériel pédagogique et rénovation des locaux associatifs",224,"ISSINDOU Michel",38,"Député","","Michel","Issindou","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/332384.asp","http://www.nosdeputes.fr/michel-issindou","http://www.nosdeputes.fr/michel-issindou/xml"
"Association Musique Ensemble","",15000,"Acquisition d'instruments de musique",224,"CHANTEGUET Jean-Paul",36,"Député","","Jean-Paul","Chanteguet","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/810.asp","http://www.nosdeputes.fr/jean-paul-chanteguet","http://www.nosdeputes.fr/jean-paul-chanteguet/xml"
"ASSOCIATION MUSIQUES ACTUELLES FEYZIN","",35000,"Fonctionnement",224,"BLEIN Yves",69,"Député","","Yves","Blein","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/608641.asp","http://www.nosdeputes.fr/yves-blein","http://www.nosdeputes.fr/yves-blein/xml"
