Parlementaire attributaire,Groupe politique,Chambre,Somme des subventions versées en 2013
François Loos,UMP,Assemblée nationale,100875
Christian Estrosi,UMP,Assemblée nationale,100360
Bernard Fournier,UMP,Sénat,100328
Hervé Morin,UDI,Assemblée nationale,100221
Denis Badré,UC,Sénat,100063
Maryse Joissains-Masini,UMP,Assemblée nationale,100000
Josiane Mathon-Poinat,CRC,Sénat,100000
Francis Giraud,UMP,Sénat,100000
Christian Cointat,UMP,Sénat,100000
Robert Laufoaulu,UMP,Sénat,99990
Michel Heinrich,UMP,Assemblée nationale,99788
Franck Reynier,UDI,Assemblée nationale,99599
Malek Boutih,SRC,Assemblée nationale,99303
Marc Joulaud,UMP,Assemblée nationale,99298
André Santini,UDI,Assemblée nationale,99000
Claude Gatignol,UMP,Assemblée nationale,98956
François-Noël Buffet,UMP,Sénat,98770
Yves Détraigne,UDI,Sénat,98476
Kalliopi Ango Ela,ECO,Sénat,98450
Michel Terrot,UMP,Assemblée nationale,98000
Alain Marsaud,UMP,Assemblée nationale,98000
Thierry Solère,UMP,Assemblée nationale,97500
Jean-Claude Guibal,UMP,Assemblée nationale,97478
Maurice Leroy,UDI,Assemblée nationale,96777
Jean-Marc Todeschini,SOC,Sénat,96583
Jean-Pierre Masseret,SOC,Sénat,96468
Joël Billard,UMP,Sénat,96384
Philippe Dallier,UMP,Sénat,96138
Françoise Descamps-Crosnier,SRC,Assemblée nationale,96000
Évelyne Didier,CRC,Sénat,95977
Muguette Dini,UDI,Sénat,95884
Gérard Bailly,UMP,Sénat,95850
Dominique Dord,UMP,Assemblée nationale,95788
Marcel Rogemont,SRC,Assemblée nationale,95582
Jean-François Lamour,UMP,Assemblée nationale,95500
Michel Rossi,UMP,Assemblée nationale,95486
Daniel Laurent,UMP,Sénat,95361
Marie-Hélène Thoraval,UMP,Assemblée nationale,95232
Marie-Christine Dalloz,UMP,Assemblée nationale,95050
Odette Terrade,CRC,Sénat,95000
Daniel Vaillant,SRC,Assemblée nationale,95000
Gilbert Barbier,RDSE,Sénat,94871
Jean-Claude Bouchet,UMP,Assemblée nationale,94836
Claude Haut,SOC,Sénat,94426
Fernand Siré,UMP,Assemblée nationale,94423
Jean-Claude Gaudin,UMP,Sénat,94165
Georges Fenech,UMP,Assemblée nationale,94000
Barbara Pompili,ECOLO,Assemblée nationale,93700
Fabienne Keller,UMP,Sénat,93670
Marie-Odile Bouillé,SRC,Assemblée nationale,93630
Robert Tropeano,RDSE,Sénat,93296
Lucien Degauchy,UMP,Assemblée nationale,93238
Jean-Charles Taugourdeau,UMP,Assemblée nationale,92582
Geneviève Colot,UMP,Assemblée nationale,92421
François Calvet,UMP,Sénat,92339
Bernard Gérard,UMP,Assemblée nationale,92104
Pascale Gruny,UMP,Assemblée nationale,91984
André Chassaigne,GDR,Assemblée nationale,91983
Michel Voisin,UMP,Assemblée nationale,91267
Hervé Marseille,UDI,Sénat,91211
Anne Grommerch,UMP,Assemblée nationale,91180
Daniel Marsin,RDSE,Sénat,91127
Jean-François Humbert,UMP,Sénat,91084
Jean-Paul Alduy,UMP,Sénat,90831
Jean-Paul Fournier,UMP,Sénat,90442
Jean-François Husson,UMP,Sénat,90360
Caroline Cayeux,UMP,Sénat,90275
Franck Gilard,UMP,Assemblée nationale,90191
Pierre Laurent,CRC,Sénat,90000
Michel Magras,UMP,Sénat,90000
Jean-Jacques Bridey,SRC,Assemblée nationale,90000
Bariza Khiari,SOC,Sénat,90000
Étienne Blanc,UMP,Assemblée nationale,89753
Pierre Lellouche,UMP,Assemblée nationale,89500
Véronique Massonneau,ECOLO,Assemblée nationale,89300
Édouard Courtial,UMP,Assemblée nationale,89057
Jean-Yves Le Bouillonnec,SRC,Assemblée nationale,89031
Sylvia Bassot,UMP,Assemblée nationale,88893
Loïc Bouvard,UMP,Assemblée nationale,88886
Gérard Lorgeoux,UMP,Assemblée nationale,88766
Patrick Labaune,UMP,Assemblée nationale,88449
Éric Ciotti,UMP,Assemblée nationale,88200
Pascal Deguilhem,SRC,Assemblée nationale,87009
Sylvain Berrios,UMP,Assemblée nationale,87000
Seybah Dagoma,SRC,Assemblée nationale,87000
Pascale Crozon,SRC,Assemblée nationale,87000
Ericka Bareigts,SRC,Assemblée nationale,87000
Sébastien Huyghe,UMP,Assemblée nationale,86865
Hervé Féron,SRC,Assemblée nationale,86691
Jacqueline Irles,UMP,Assemblée nationale,86681
Robert Hue,RDSE,Sénat,86566
Louis Cosyns,UMP,Assemblée nationale,86490
Raymond Vall,RDSE,Sénat,86352
Michel Billout,CRC,Sénat,86050
Marisol Touraine,SRC,Assemblée nationale,86002
Gérard Miquel,SOC,Sénat,85978
Claude Goasguen,UMP,Assemblée nationale,85500
Bernard Seillier,RDSE,Sénat,85424
Isabelle Le Callennec,UMP,Assemblée nationale,85415
Gérard Charasse,RRDP,Assemblée nationale,85410
Colette Mélot,UMP,Sénat,85035
Robert Bret,CRC,Sénat,85000
Jean-Pierre Chevènement,RDSE,Sénat,84929
Jean-Paul Tuaiva,UDI,Assemblée nationale,84928
Xavier Breton,UMP,Assemblée nationale,84655
Michel Vauzelle,SRC,Assemblée nationale,84230
Marcel Deneux,UDI,Sénat,84060
Michel Grall,UMP,Assemblée nationale,83882
Alain Cousin,UMP,Assemblée nationale,83553
Jacques Desallangre,NI,Assemblée nationale,83339
Brigitte Bout,UMP,Sénat,83256
Rudy Salles,UDI,Assemblée nationale,83187
Nicolas Perruchot,NC,Assemblée nationale,83063
Jean-Michel Couve,UMP,Assemblée nationale,82924
Dominique Nachury,UMP,Assemblée nationale,82800
René Trégouët,UMP,Sénat,82743
Philippe Goujon,UMP,Assemblée nationale,82500
Jean-Pierre Door,UMP,Assemblée nationale,82026
Éric Jalton,SRC,Assemblée nationale,82000
Denis Jacquat,UMP,Assemblée nationale,81750
Élisabeth Lamure,UMP,Sénat,81550
François-Xavier Villain,UDI,Assemblée nationale,81450
René-Paul Savary,UMP,Sénat,81336
Lionel Tardy,UMP,Assemblée nationale,81000
François Rochebloine,UDI,Assemblée nationale,81000
Jacques Blanc,UMP,Sénat,80818
Jean-Louis Roumegas,ECOLO,Assemblée nationale,80800
Alain Marc,UMP,Assemblée nationale,80656
Bruno Sido,UMP,Sénat,80181
Michel Mercier,UDI,Sénat,80177
Laurence Cohen,CRC,Sénat,80000
Jacques Kossowski,UMP,Assemblée nationale,80000
Christian Hutin,SRC,Assemblée nationale,80000
Jean-Pierre Marcon,UMP,Assemblée nationale,79761
Laure de La Raudière,UMP,Assemblée nationale,79360
Michel Charasse,RDSE,Sénat,79257
Gabrielle Louis-Carabin,SRC,Assemblée nationale,79215
Valérie Pecresse,UMP,Assemblée nationale,79000
Jean-Pierre Abelin,NC,Assemblée nationale,78794
Claude Domeizel,SOC,Sénat,78519
Véronique Besse,NI,Assemblée nationale,78378
René-Pierre Signé,SOCV,Sénat,78312
Marie-George Buffet,GDR,Assemblée nationale,78250
Claude Bartolone,SRC,Assemblée nationale,78220
Marie-Christine Blandin,ECO,Sénat,78000
Émile Blessig,UMP,Assemblée nationale,77881
Jean-Paul Garraud,UMP,Assemblée nationale,77716
