"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"ANIM'17","",2500,"Subvention fonctionnement",224,"CHARON Pierre",75,"Sénateur","","Pierre","Charon","H","UMP","http://www.senat.fr/senateur/charon_pierre11080n.html","http://www.nossenateurs.fr/pierre-charon","http://www.nossenateurs.fr/pierre-charon/xml"
"APAQ 17","",8000,"Subvention fonctionnement",224,"CHARON Pierre",75,"Sénateur","","Pierre","Charon","H","UMP","http://www.senat.fr/senateur/charon_pierre11080n.html","http://www.nossenateurs.fr/pierre-charon","http://www.nossenateurs.fr/pierre-charon/xml"
"APF - Délégation des Bouches-du-Rhône","",15000,"NC",157,"PASQUET Isabelle",13,"Sénateur","","Isabelle","Pasquet","F","CRC","http://www.senat.fr/senateur/pasquet_isabelle08026u.html","http://www.nossenateurs.fr/isabelle-pasquet","http://www.nossenateurs.fr/isabelle-pasquet/xml"
"Apprenti Musicien","",20000,"Subvention fonctionnement",224,"JOUANNO Chantal",75,"Sénateur","","Chantal","Jouanno","F","UDI","http://www.senat.fr/senateur/jouanno_chantal09001p.html","http://www.nossenateurs.fr/chantal-jouanno","http://www.nossenateurs.fr/chantal-jouanno/xml"
"ARCACIA","",11000,"NC",163,"DESESSARD Jean",75,"Sénateur","","Jean","Desessard","H","ECO","http://www.senat.fr/senateur/desessard_jean04067m.html","http://www.nossenateurs.fr/jean-desessard","http://www.nossenateurs.fr/jean-desessard/xml"
"Art Connexion","",15000,"Subvention fonctionnement",131,"BOUCHART Natacha",62,"Sénateur","","Natacha","Bouchart","F","UMP","http://www.senat.fr/senateur/bouchart_natacha11060j.html","http://www.nossenateurs.fr/natacha-bouchart","http://www.nossenateurs.fr/natacha-bouchart/xml"
"Artcité","",4000,"Subvention fonctionnement",224,"FAVIER Christian",94,"Sénateur","","Christian","Favier","H","CRC","http://www.senat.fr/senateur/favier_christian11034g.html","http://www.nossenateurs.fr/christian-favier","http://www.nossenateurs.fr/christian-favier/xml"
"As pour la sauvegarde de Notre Dame de Lorette","",10000,"Subvention fonctionnement",175,"CHARON Pierre",75,"Sénateur","","Pierre","Charon","H","UMP","http://www.senat.fr/senateur/charon_pierre11080n.html","http://www.nossenateurs.fr/pierre-charon","http://www.nossenateurs.fr/pierre-charon/xml"
"ASCEAP","",5000,"Accueil et accompagnement des publics",303,"PLACE Jean-Vincent",91,"Sénateur","","Jean-Vincent","Placé","H","ECO","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://www.nossenateurs.fr/jean-vincent-place","http://www.nossenateurs.fr/jean-vincent-place/xml"
"ASET 93","",6000,"NC",177,"ARCHIMBAUD Aline",93,"Sénateur","","Aline","Archimbaud","F","ECO","http://www.senat.fr/senateur/archimbaud_aline11055m.html","http://www.nossenateurs.fr/aline-archimbaud","http://www.nossenateurs.fr/aline-archimbaud/xml"
"Asile et partage 49","",4000,"NC",304,"BOUCHOUX Corinne",49,"Sénateur","","Corinne","Bouchoux","F","ECO","http://www.senat.fr/senateur/bouchoux_corinne11029k.html","http://www.nossenateurs.fr/corinne-bouchoux","http://www.nossenateurs.fr/corinne-bouchoux/xml"
"ASPPEC Clairegoutte","",4000,"Subvention fonctionnement",175,"MICHEL Jean-Pierre",70,"Sénateur","","Jean-Pierre","Michel","H","SOC","http://www.senat.fr/senateur/michel_jean_pierre04084n.html","http://www.nossenateurs.fr/jean-pierre-michel","http://www.nossenateurs.fr/jean-pierre-michel/xml"
"Ass ""les chevaliers du ciel""","",10000,"NC",177,"Dotation institutionnelle",75,"Sénat","","","","","","","",""
"Ass ADIR (Transrural initiatives)","",5000,"Subvention fonctionnement",180,"DESESSARD Jean",75,"Sénateur","","Jean","Desessard","H","ECO","http://www.senat.fr/senateur/desessard_jean04067m.html","http://www.nossenateurs.fr/jean-desessard","http://www.nossenateurs.fr/jean-desessard/xml"
"ASS Basket Landes","",5000,"NC",219,"MICHEL Jean-Pierre",70,"Sénateur","","Jean-Pierre","Michel","H","SOC","http://www.senat.fr/senateur/michel_jean_pierre04084n.html","http://www.nossenateurs.fr/jean-pierre-michel","http://www.nossenateurs.fr/jean-pierre-michel/xml"
"Ass BIL XOKUA","",1000,"NC",163,"LASSERRE Jean-Jacques",64,"Sénateur","","Jean-Jacques","Lasserre","H","UDI","http://www.senat.fr/senateur/lasserre_jean_jacques11111c.html","http://www.nossenateurs.fr/jean-jacques-lasserre","http://www.nossenateurs.fr/jean-jacques-lasserre/xml"
"Ass des Amis de la Chapelle de Grainval","",1000,"Subvention fonctionnement",224,"REVET Charles",76,"Sénateur","","Charles","Revet","H","UMP","http://www.senat.fr/senateur/revet_charles95062k.html","http://www.nossenateurs.fr/charles-revet","http://www.nossenateurs.fr/charles-revet/xml"
"Ass des commerçants du quartier Rendez vous Marsoulan","",3000,"NC",163,"JOUANNO Chantal",75,"Sénateur","","Chantal","Jouanno","F","UDI","http://www.senat.fr/senateur/jouanno_chantal09001p.html","http://www.nossenateurs.fr/chantal-jouanno","http://www.nossenateurs.fr/chantal-jouanno/xml"
"Ass Echange entre les générations par spectacle vivant","",3000,"Subvention fonctionnement",131,"GATTOLIN André",92,"Sénateur","","André","Gattolin","H","ECO","http://www.senat.fr/senateur/gattolin_andre11083r.html","http://www.nossenateurs.fr/andre-gattolin","http://www.nossenateurs.fr/andre-gattolin/xml"
"Ass Ecorev","",5000,"Subvention fonctionnement",180,"PLACE Jean-Vincent",91,"Sénateur","","Jean-Vincent","Placé","H","ECO","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://www.nossenateurs.fr/jean-vincent-place","http://www.nossenateurs.fr/jean-vincent-place/xml"
"Ass FaSiLa Forest","",3000,"Subvention fonctionnement",224,"BLANDIN Marie-Christine",59,"Sénateur","","Marie-Christine","Blandin","F","ECO","http://www.senat.fr/senateur/blandin_marie_christine01044r.html","http://www.nossenateurs.fr/marie-christine-blandin","http://www.nossenateurs.fr/marie-christine-blandin/xml"
"Ass Festival québécois de Longjumeau","",7000,"Subvention fonctionnement",224,"PLACE Jean-Vincent",91,"Sénateur","","Jean-Vincent","Placé","H","ECO","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://www.nossenateurs.fr/jean-vincent-place","http://www.nossenateurs.fr/jean-vincent-place/xml"
"Ass gallo romaine intercommunale pour la promotion du patrimoine archéologique de Châteaubleau (AGRIPPA)","",5000,"Subvention fonctionnement",224,"BILLOUT Michel",77,"Sénateur","","Michel","Billout","H","CRC","http://www.senat.fr/senateur/billout_michel04054g.html","http://www.nossenateurs.fr/michel-billout","http://www.nossenateurs.fr/michel-billout/xml"
